GUIDELINES	TESTMETHOD	POTENCY	ORG_CODE	BREAKPOINT_TYPE	HOST	SITE_INF	REF_TABLE	REF_SEQ	WHON5_CODE	WHON5_TEST	DISK_R	DISK_I	DISK_S	MIC_S	MIC_R
CLSI12	MIC		BCS	Human	Human		M45 Table 3		AMK	AMK_NM				16	64
CLSI12	MIC		PLE	Human	Human		M45 Table 2		AMK	AMK_NM				16	64
CLSI12	MIC		AC-	Human	Human		Table 2B-2	17.00	AMK	AMK_NM				16	64
CLSI12	MIC		NFR	Human	Human		Table 2B-5	21.00	AMK	AMK_NM				16	64
CLSI12	MIC		pae	Human	Human		Table 2B-1	16.00	AMK	AMK_NM				16	64
CLSI12	MIC		STA	Human	Human		Table 2C	39.00	AMK	AMK_NM				16	64
EUCST14	MIC		cal	Human	Human		Candida	4.00	MIF	MIF_EM				0.016	0.03
CLSI12	MIC		AGT	Human	Human		M45 Table 7		AMP	AMP_NM				1	4
CLSI12	MIC		ANA	Human	Human		Table 2J	2.00	AMP	AMP_NM				0.5	2
CLSI12	MIC		ban	Human	Human		M45 Table 16		AMP	AMP_NM					
CLSI12	MIC		BCS	Human	Human		M45 Table 3		AMP	AMP_NM				0.25	0.5
CLSI12	MIC		CAR	Human	Human		M45 Table 7		AMP	AMP_NM				1	4
CLSI12	MIC		EIK	Human	Human		M45 Table 7		AMP	AMP_NM				1	4
CLSI12	MIC		ENT	Human	Human		Table 2D	2.00	AMP	AMP_NM				8	16
CLSI12	MIC		erh	Human	Human		M45 Table 6		AMP	AMP_NM				0.25	
CLSI12	MIC		GCT	Human	Human		M45 Table 1		AMP	AMP_NM				0.25	8
CLSI12	MIC		HA-	Human	Human		Table 2E	1.00	AMP	AMP_NM				1	4
CLSI12	MIC		LAC	Human	Human		M45 Table 9		AMP	AMP_NM				8	
CLSI12	MIC		LEU	Human	Human		M45 Table 10		AMP	AMP_NM				8	
CLSI12	MIC		lmo	Human	Human		M45 Table 11		AMP	AMP_NM				2	
CLSI12	MIC		nme	Human	Human		Table 2I	2.00	AMP	AMP_NM				0.125	2
CLSI12	MIC		PAS	Human	Human		M45 Table 13		AMP	AMP_NM				0.5	
CLSI12	MIC		PED	Human	Human		M45 Table 14		AMP	AMP_NM				8	
CLSI12	MIC		snv	Human	Human		M45 Table 1		AMP	AMP_NM				0.25	8
CLSI12	MIC		spn	Human	Human		Table 2G		AMP	AMP_NM					
CLSI12	MIC		STR	Human	Human		Table 2H-1	2.00	AMP	AMP_NM				0.25	
CLSI12	MIC		SVI	Human	Human		Table 2H-2	2.00	AMP	AMP_NM				0.25	8
CLSI12	MIC		STA	Human	Human		Table 2C	4.00	AMP	AMP_NM				0.25	0.5
CLSI12	MIC		PAS	Human	Human		M45 Table 13		AMX	AMX_NM				0.5	
CLSI12	MIC		spn	Human	Human	Non-meningitis	Table 2G	5.00	AMX	AMX_NM				2	8
CLSI12	MIC		STR	Human	Human		Table 2H-1		AMX	AMX_NM					
CLSI12	MIC		NFR	Human	Human		Table 2B-5	14.00	ATM	ATM_ND30					
CLSI12	MIC		AER	Human	Human		M45 Table 2		ATM	ATM_NM				4	16
CLSI12	MIC		HA-	Human	Human		Table 2E	22.00	ATM	ATM_NM				2	
CLSI12	MIC		PLE	Human	Human		M45 Table 2		ATM	ATM_NM				4	16
CLSI12	MIC		NFR	Human	Human		Table 2B-5	14.00	ATM	ATM_NM				8	32
CLSI12	MIC		pae	Human	Human		Table 2B-1	7.00	ATM	ATM_NM				8	32
CLSI12	MIC		AGT	Human	Human		M45 Table 7		AZM	AZM_NM				4	
CLSI12	MIC		bca	Human	Human		M45 Table 12		AZM	AZM_NM				0.25	
CLSI12	MIC		CAR	Human	Human		M45 Table 7		AZM	AZM_NM				4	
CLSI12	MIC		EIK	Human	Human		M45 Table 7		AZM	AZM_NM				4	
CLSI12	MIC		HA-	Human	Human		Table 2E	27.00	AZM	AZM_NM				4	
CLSI12	MIC		KIN	Human	Human		M45 Table 7		AZM	AZM_NM				4	
CLSI12	MIC		nme	Human	Human		Table 2I	6.00	AZM	AZM_NM				2	
CLSI12	MIC		PAS	Human	Human		M45 Table 13		AZM	AZM_NM				1	
CLSI12	MIC		spn	Human	Human		Table 2G	28.00	AZM	AZM_NM				0.5	2
CLSI12	MIC		STR	Human	Human		Table 2H-1	12.00	AZM	AZM_NM				0.5	2
CLSI12	MIC		SVI	Human	Human		Table 2H-2	12.00	AZM	AZM_NM				0.5	2
CLSI12	MIC		STA	Human	Human		Table 2C	43.00	AZM	AZM_NM				2	8
CLSI12	MIC		HA-	Human	Human		Table 2E	21.00	CAT	CAT_NM				4	16
CLSI12	MIC		ngo	Human	Human		Table 2F	13.00	CAT	CAT_NM				0.5	
CLSI12	MIC		NFR	Human	Human		Table 2B-5	7.00	CAZ	CAZ_ND30					
CLSI12	MIC		AER	Human	Human		M45 Table 2		CAZ	CAZ_NM				4	16
CLSI12	MIC		ban	Human	Human		M45 Table 16		CAZ	CAZ_NM					
CLSI12	MIC		bca	Human	Human		M45 Table 12		CAZ	CAZ_NM				2	
CLSI12	MIC		BCS	Human	Human		M45 Table 3		CAZ	CAZ_NM				8	32
CLSI12	MIC		bma	Human	Human		M45 Table 16		CAZ	CAZ_NM				8	32
CLSI12	MIC		HA-	Human	Human		Table 2E	6.00	CAZ	CAZ_NM				2	
CLSI12	MIC		ngo	Human	Human		Table 2F	9.00	CAZ	CAZ_NM				0.5	
CLSI12	MIC		PLE	Human	Human		M45 Table 2		CAZ	CAZ_NM				4	16
CLSI12	MIC		ppm	Human	Human		M45 Table 16		CAZ	CAZ_NM				8	32
CLSI12	MIC		AC-	Human	Human		Table 2B-2	7.00	CAZ	CAZ_NM				8	32
CLSI12	MIC		NFR	Human	Human		Table 2B-5	7.00	CAZ	CAZ_NM				8	32
CLSI12	MIC		pae	Human	Human		Table 2B-1	5.00	CAZ	CAZ_NM				8	32
CLSI12	MIC		pce	Human	Human		Table 2B-3	1.00	CAZ	CAZ_NM				8	32
CLSI12	MIC		pma	Human	Human		Table 2B-4	2.00	CAZ	CAZ_NM				8	32
CLSI12	MIC		STA	Human	Human		Table 2C	19.00	CAZ	CAZ_NM				8	32
CLSI12	MIC		HA-	Human	Human		Table 2E	15.00	CDR	CDR_NM				1	
CLSI12	MIC		spn	Human	Human		Table 2G	17.00	CDR	CDR_NM				0.5	2
CLSI12	MIC		STA	Human	Human		Table 2C	26.00	CDR	CDR_NM				1	4
CLSI12	MIC		HA-	Human	Human		Table 2E	13.00	CEC	CEC_NM				8	32
CLSI12	MIC		spn	Human	Human		Table 2G	16.00	CEC	CEC_NM				1	4
CLSI12	MIC		STA	Human	Human		Table 2C	25.00	CEC	CEC_NM				8	32
CLSI12	MIC		STA	Human	Human		Table 2C	23.00	CEP	CEP_NM				8	32
CLSI12	MIC		bca	Human	Human		M45 Table 12		CFC	CFC_NM				8	32
CLSI12	MIC		HA-	Human	Human		Table 2E	16.00	CFM	CFM_NM				1	
CLSI12	MIC		ngo	Human	Human		Table 2F	11.00	CFM	CFM_NM				0.25	
CLSI12	MIC		NFR	Human	Human		Table 2B-5	11.00	CFP	CFP_NM					
CLSI12	MIC		ANA	Human	Human		Table 2J	15.00	CFP	CFP_NM				16	64
CLSI12	MIC		NFR	Human	Human		Table 2B-5	11.00	CFP	CFP_NM				16	64
CLSI12	MIC		STA	Human	Human		Table 2C	16.00	CFP	CFP_NM				16	64
CLSI12	MIC		NFR	Human	Human		Table 2B-5	36.00	CHL	CHL_ND30					
EUCST14	MIC		cgl	Human	Human		Candida	8.00	ANI	ANI_EM				0.064	0.12
CLSI12	MIC		AER	Human	Human		M45 Table 2		CHL	CHL_NM				8	32
CLSI12	MIC		AGT	Human	Human		M45 Table 7		CHL	CHL_NM				4	16
CLSI12	MIC		ANA	Human	Human		Table 2J	24.00	CHL	CHL_NM				8	32
CLSI12	MIC		ban	Human	Human		M45 Table 16		CHL	CHL_NM					
CLSI12	MIC		bca	Human	Human		M45 Table 12		CHL	CHL_NM				2	8
CLSI12	MIC		BCS	Human	Human		M45 Table 3		CHL	CHL_NM				8	32
CLSI12	MIC		CAR	Human	Human		M45 Table 7		CHL	CHL_NM				4	16
CLSI12	MIC		EIK	Human	Human		M45 Table 7		CHL	CHL_NM				4	16
CLSI12	MIC		ftu	Human	Human		M45 Table 16		CHL	CHL_NM				8	
