Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Microorganism	PHVS_Microorganism_CDC	2.16.840.1.114222.4.11.1009	12	Microorganisms/infectious agents	Published	09/01/2020	Value set updated based on the September 1, 2020 US Edition of SNOMED CT 

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
54857005	63U-11 virus (organism)	63U-11 virus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
66177001	75V-2374 virus (organism)	75V-2374 virus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
77627007	75V-2621 virus (organism)	75V-2621 virus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
54454006	78V-2441 virus (organism)	78V-2441 virus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
710254005	78V-3531 virus (organism)	78V-3531 virus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
11946001	Abadina virus (organism)	Abadina virus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
113714003	Abiotrophia defectiva (organism)	Abiotrophia defectiva (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
736079004	Abortiporus biennis (organism)	Abortiporus biennis (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
17822001	Abras virus (organism)	Abras virus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
57145009	Absidia (organism)	Absidia (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
2591000146102	Absidia caerulea (organism)	Absidia caerulea (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
785768009	Absidia glauca (organism)	Absidia glauca (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
8296004	Absidia halospora (organism)	Absidia halospora (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
88622009	Abu Hammad virus (organism)	Abu Hammad virus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
70661006	Abu Mina virus (organism)	Abu Mina virus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
51554008	Acado virus (organism)	Acado virus (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
50875003	Acanthamoeba (organism)	Acanthamoeba (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
53781001	Acanthamoeba astronyxis (organism)	Acanthamoeba astronyxis (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
91540007	Acanthamoeba castellanii (organism)	Acanthamoeba castellanii (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
417253007	Acanthamoeba comandoni (organism)	Acanthamoeba comandoni (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
12949005	Acanthamoeba culbertsoni (organism)	Acanthamoeba culbertsoni (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
417053001	Acanthamoeba divionensis (organism)	Acanthamoeba divionensis (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
416324000	Acanthamoeba griffini (organism)	Acanthamoeba griffini (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
307306003	Acanthamoeba hatchetti (organism)	Acanthamoeba hatchetti (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
416192004	Acanthamoeba healyi (organism)	Acanthamoeba healyi (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
417363002	Acanthamoeba jacobsi (organism)	Acanthamoeba jacobsi (organism)		2.16.840.1.113883.6.96	SNOMED-CT	PH_SNOMED-CT	20200901	SCT
