"av"	"name"	"atc"	"cid"	"atc_group"	"synonyms"	"oral_ddd"	"oral_units"	"iv_ddd"	"iv_units"	"loinc"
"ABA"	"Abacavir"	"J05AF06"	441300	"Nucleoside and nucleotide reverse transcriptase inhibitors"	"abacavir sulfate,avacavir,ziagen"	0.6	"g"			"29113-8,78772-1,78773-9,79134-3,80118-3"
"ACI"	"Aciclovir"	"J05AB01"	135398513	"Nucleosides and nucleotides excl. reverse transcriptase inhibitors"	"acicloftal,aciclovier,aciclovirum,activir,acyclofoam,acycloguanosine,acyclovir,acyclovir lauriad,avaclyr,cargosil,cyclovir,genvir,gerpevir,hascovir,maynar,novirus,poviral,sitavig,sitavir,vipral,viropump,virorax,zovirax,zyclir"	4	"g"	4	"g"	""
"ADD"	"Adefovir dipivoxil"	"J05AF08"	60871	"Nucleoside and nucleotide reverse transcriptase inhibitors"	"adefovir di,adefovir di ester,adefovir dipivoxyl,adefovir pivoxil,adefovirdipivoxl,bisadenine,bispmea,hepsera,preveon,youheding"	10	"mg"			""
"AME"	"Amenamevir"	"J05AX26"	11397521	"Other antivirals"	"amenalief"	0.4	"g"			""
"AMP"	"Amprenavir"	"J05AE05"	65016	"Protease inhibitors"	"agenerase,carbamate,prozei"	1.2	"g"			"29114-6,31028-4,78791-1"
"ASU"	"Asunaprevir"	"J05AP06"	16076883	"Antivirals for treatment of HCV infections"	"sunvepra,sunvepratrade"	0.2	"g"			""
"ATA"	"Atazanavir"	"J05AE08"	148192	"Protease inhibitors"	"atazanavir base,latazanavir,reyataz,zrivada"	0.3	"g"			"41470-6,78796-0,78797-8,80142-3,80143-1"
"ATA+COBI"	"Atazanavir/cobicistat"	"J05AR15"	86583336	"Antivirals for treatment of HIV infections, combinations"	""					""
"ATA+RIT"	"Atazanavir/ritonavir"	"J05AR23"	25134325	"Antivirals for treatment of HIV infections, combinations"	""	0.3	"g"			""
"BAM"	"Baloxavir marboxil"	"J05AX25"	124081896	"Other antivirals"	"xofluza"	40	"mg"			""
"BOC"	"Boceprevir"	"J05AP03"	10324367	"Antivirals for treatment of HCV infections"	"victrelis"	2.4	"g"			""
