"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Oxygen tolerance"
219,,"DSM 9849, ATCC 49176, CIP 103242, SC 10",1,"Abiotrophia defectiva",anaerobe
145172,,"CCUG 27806",0,"Abiotrophia defectiva",microaerophile
148055,,"CCUG 34739",0,"Abiotrophia defectiva",microaerophile
148519,,"CCUG 35584",0,"Abiotrophia defectiva",anaerobe
,,,,,microaerophile
149144,,"CCUG 36937",0,"Abiotrophia defectiva",microaerophile
150280,,"CCUG 39479",0,"Abiotrophia defectiva",anaerobe
,,,,,microaerophile
152186,,"CCUG 46001",0,"Abiotrophia defectiva",microaerophile
152516,,"CCUG 46990 B",0,"Abiotrophia defectiva",microaerophile
152552,,"CCUG 47045",0,"Abiotrophia defectiva",microaerophile
152579,,"CCUG 47112",0,"Abiotrophia defectiva",microaerophile
153374,,"CCUG 49368",0,"Abiotrophia defectiva",microaerophile
154020,,"CCUG 52016",0,"Abiotrophia defectiva",microaerophile
154929,,"CCUG 55745",0,"Abiotrophia defectiva",microaerophile
155280,,"CCUG 57181",0,"Abiotrophia defectiva",microaerophile
155432,,"CCUG 57749",0,"Abiotrophia defectiva",microaerophile
155940,,"CCUG 59700",0,"Abiotrophia defectiva",anaerobe
156779,,"CCUG 65103",0,"Abiotrophia defectiva",microaerophile
159837,OUC007,"KCTC 52933, MCCC 1K03450, JCM 32025",1,"Abyssibacter profundi",aerobe
132478,L81,"DSM 29592, JCM 30920",1,"Vallitalea guaymasensis",anaerobe
,,,,,"obligate anaerobe"
24718,FYK2218,"DSM 28897, KCTC 12899, NBRC 101209",1,"Acanthopleuribacter pedis",aerobe
7517,CSC,"DSM 14247, CCUG 49701, NBRC 107788, CIP 109141, JCM 14300",1,"Acaricomes phytoseiuli",aerobe
134101,Z7,"JCM 12359, AS 1.5012",1,"Acetanaerobacterium elongatum",anaerobe
18089,CT-m2,"DSM 23669, ATCC BAA 2170",1,"Acetatifactor muris",anaerobe
164491,HSLZ-75,"JCM 33270, CICC 6269",1,"Acetilactobacillus jinshanensis","facultative anaerobe"
6338,"12185, 139 B","DSM 5522, ATCC 43876",1,"Acetitomaculum ruminis",anaerobe
