"guideline","version","file_desc","type","host","method","site","mo","rank_index","ab","disk_dose","breakpoint_S","breakpoint_R","note","sheet"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Ampicillin",NA,"8","8","[1] Wild type Enterobacterales are categorised as susceptible to aminopenicillins. 
Some countries prefer to categorise wild-type isolates of E. coli and P. mirabilis as ""Susceptible, increased exposure"". When this is the case, use the MIC breakpoint S ≤ 0.5 mg/L and the corresponding zone diameter breakpoint S ≥ 50 mm.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Ampicillin","10 mcg","14","14","[A] Wild type Enterobacterales are categorised as susceptible to aminopenicillins. 
Some countries prefer to categorise wild-type isolates of E. coli and P. mirabilis as ""Susceptible, increased exposure"". When this is the case, use the MIC breakpoint S ≤ 0.5 mg/L and the corresponding zone diameter breakpoint S ≥ 50 mm. | [B] Ignore growth that may appear as a thin inner zone on some batches of Mueller-Hinton agars.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Ampicillin-sulbactam",NA,"8","8","[1] Wild type Enterobacterales are categorised as susceptible to aminopenicillins. 
Some countries prefer to categorise wild-type isolates of E. coli and P. mirabilis as ""Susceptible, increased exposure"". When this is the case, use the MIC breakpoint S ≤ 0.5 mg/L and the corresponding zone diameter breakpoint S ≥ 50 mm. | [2] For susceptibility testing purposes, the concentration of sulbactam is fixed at 4 mg/L.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Ampicillin-sulbactam","10/10 mcg","14","14","[A] Wild type Enterobacterales are categorised as susceptible to aminopenicillins. 
Some countries prefer to categorise wild-type isolates of E. coli and P. mirabilis as ""Susceptible, increased exposure"". When this is the case, use the MIC breakpoint S ≤ 0.5 mg/L and the corresponding zone diameter breakpoint S ≥ 50 mm. | [B] Ignore growth that may appear as a thin inner zone on some batches of Mueller-Hinton agars.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Amoxicillin",NA,"8","8","[1] Wild type Enterobacterales are categorised as susceptible to aminopenicillins. 
Some countries prefer to categorise wild-type isolates of E. coli and P. mirabilis as ""Susceptible, increased exposure"". When this is the case, use the MIC breakpoint S ≤ 0.5 mg/L and the corresponding zone diameter breakpoint S ≥ 50 mm.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Amoxicillin","/ mcg","Note","Note","[C] Susceptibility inferred from ampicillin.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Amoxicillin-clavulanic acid",NA,"8","8","[1] Wild type Enterobacterales are categorised as susceptible to aminopenicillins. 
Some countries prefer to categorise wild-type isolates of E. coli and P. mirabilis as ""Susceptible, increased exposure"". When this is the case, use the MIC breakpoint S ≤ 0.5 mg/L and the corresponding zone diameter breakpoint S ≥ 50 mm. | [3] For susceptibility testing purposes, the concentration of clavulanic acid is fixed at 2 mg/L.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Amoxicillin-clavulanic acid","20/10 mcg","19","19","[A] Wild type Enterobacterales are categorised as susceptible to aminopenicillins. 
Some countries prefer to categorise wild-type isolates of E. coli and P. mirabilis as ""Susceptible, increased exposure"". When this is the case, use the MIC breakpoint S ≤ 0.5 mg/L and the corresponding zone diameter breakpoint S ≥ 50 mm. | [B] Ignore growth that may appear as a thin inner zone on some batches of Mueller-Hinton agars.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","MIC",NA,"Enterobacterales",NA,"Amoxicillin-clavulanic acid (uncomplicated UTI only)",NA,"32","32","[1] Wild type Enterobacterales are categorised as susceptible to aminopenicillins. 
Some countries prefer to categorise wild-type isolates of E. coli and P. mirabilis as ""Susceptible, increased exposure"". When this is the case, use the MIC breakpoint S ≤ 0.5 mg/L and the corresponding zone diameter breakpoint S ≥ 50 mm. | [3] For susceptibility testing purposes, the concentration of clavulanic acid is fixed at 2 mg/L.","Enterobacterales"
"EUCAST 2019","9.0","Clinical Breakpoint Tables v. 9.0","human","human","DISK",NA,"Enterobacterales",NA,"Amoxicillin-clavulanic acid (uncomplicated UTI only)","20/10 mcg","16","16","[A] Wild type Enterobacterales are categorised as susceptible to aminopenicillins. 
Some countries prefer to categorise wild-type isolates of E. coli and P. mirabilis as ""Susceptible, increased exposure"". When this is the case, use the MIC breakpoint S ≤ 0.5 mg/L and the corresponding zone diameter breakpoint S ≥ 50 mm. | [B] Ignore growth that may appear as a thin inner zone on some batches of Mueller-Hinton agars.","Enterobacterales"
