"guideline"	"type"	"host"	"method"	"site"	"mo"	"rank_index"	"ab"	"ref_tbl"	"disk_dose"	"breakpoint_S"	"breakpoint_R"	"uti"	"is_SDD"
"EUCAST 2024"	"human"	"human"	"DISK"		"B_ACHRMB_XYLS"	2	"MEM"	"A. xylosoxidans"	"10 mcg"	26	20	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ACHRMB_XYLS"	2	"MEM"	"A. xylosoxidans"		1	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_ACHRMB_XYLS"	2	"SXT"	"A. xylosoxidans"	"1.25 mcg/23.75 mcg"	26	26	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ACHRMB_XYLS"	2	"SXT"	"A. xylosoxidans"		0.125	0.125	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_ACHRMB_XYLS"	2	"TZP"	"A. xylosoxidans"	"30 mcg/6 mcg"	26	26	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ACHRMB_XYLS"	2	"TZP"	"A. xylosoxidans"		4	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_ACNTB"	3	"AMK"	"Acinetobacter spp."	"30 mcg"	19	19	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"	"Uncomplicated urinary tract infection"	"B_ACNTB"	3	"AMK"	"Acinetobacter spp."	"30 mcg"	19	19	TRUE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ACNTB"	3	"AMK"	"Acinetobacter spp."		8	8	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"	"Uncomplicated urinary tract infection"	"B_ACNTB"	3	"AMK"	"Acinetobacter spp."		8	8	TRUE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_ACNTB"	3	"CIP"	"Acinetobacter spp."	"5 mcg"	50	21	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ACNTB"	3	"CIP"	"Acinetobacter spp."		1e-04	1	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ACNTB"	3	"COL"	"Acinetobacter spp."		2	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_ACNTB"	3	"DOR"	"Acinetobacter spp."	"10 mcg"	50	22	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ACNTB"	3	"DOR"	"Acinetobacter spp."		1e-04	2	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_ACNTB"	3	"GEN"	"Acinetobacter spp."	"10 mcg"	17	17	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"	"Uncomplicated urinary tract infection"	"B_ACNTB"	3	"GEN"	"Acinetobacter spp."	"10 mcg"	17	17	TRUE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ACNTB"	3	"GEN"	"Acinetobacter spp."		4	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"	"Uncomplicated urinary tract infection"	"B_ACNTB"	3	"GEN"	"Acinetobacter spp."		4	4	TRUE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_ACNTB"	3	"IPM"	"Acinetobacter spp."	"10 mcg"	24	21	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ACNTB"	3	"IPM"	"Acinetobacter spp."		2	4	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"DISK"		"B_ACNTB"	3	"LVX"	"Acinetobacter spp."	"5 mcg"	23	20	FALSE	FALSE
"EUCAST 2024"	"human"	"human"	"MIC"		"B_ACNTB"	3	"LVX"	"Acinetobacter spp."		0.5	1	FALSE	FALSE
