"code"	"mo"
"1011"	"B_GRAMP"
"1012"	"B_GRAMP"
"1013"	"B_GRAMN"
"1014"	"B_GRAMN"
"1015"	"F_YEAST"
"103"	"B_ESCHR_COLI"
"104"	"B_SLMNL_ENTR_ENTR"
"1100"	"B_STRPT"
"1101"	"B_STRPT_VIRI"
"1102"	"B_STRPT_HAEM"
"1103"	"B_STRPT"
"111"	"B_ESCHR_COLI"
"1111"	"B_STRPT_PYGN"
"1112"	"B_STRPT_GRPA"
"1114"	"B_STRPT_AGLC"
"1115"	"B_STRPT_GRPB"
"1117"	"B_STRPT_GRPC"
"1120"	"B_STRPT_GRPF"
"1123"	"B_STRPT_GRPG"
"1124"	"B_STRPT_HAEM"
"1131"	"B_STRPT_PNMN"
"1141"	"B_STRPT_MTNS"
"1142"	"B_STRPT_SNGN"
"1143"	"B_STRPT_MITS"
"1144"	"B_STRPT_ANGN_ANGN"
"1145"	"B_STRPT_INTR"
"1146"	"B_STRPT_EQNS"
"1147"	"B_STRPT_SLVR"
"1148"	"B_STRPT_EQNS"
"1149"	"B_STRPT_UBRS"
"1150"	"B_STRPT_CNST_CNST"
"1151"	"B_STRPT_ACDM"
"1152"	"B_STRPT_SUIS"
"1154"	"B_STRPT_GRPD"
"1200"	"B_ENTRC"
"1201"	"B_ENTRC_FCLS"
"1205"	"B_ENTRC_FACM"
"1209"	"B_ENTRC_AVIM"
"1213"	"B_ENTRC_DRNS"
"1214"	"B_ENTRC_GLLN"
"1215"	"B_ENTRC_CSSL"
"1217"	"B_ENTRC_HIRA"
"1300"	"B_STPHY"
"1301"	"B_STPHY_AURS"
"1311"	"B_STPHY_CONS"
"1312"	"B_STPHY_EPDR"
"1313"	"B_STPHY_SPRP"
"1314"	"B_STPHY_HMNS_HMNS"
"1315"	"B_STPHY_WRNR"
"1317"	"B_STPHY_ARCL"
"1318"	"B_STPHY_SMLN"
"1319"	"B_STPHY_COHN"
"1320"	"B_STPHY_XYLS"
"1321"	"B_STPHY_SCIR"
"1322"	"B_STPHY_INTR"
"1323"	"B_STPHY_HYCS"
"1324"	"B_STPHY_HMLY"
"1325"	"B_STPHY_CPTS_CPTS"
"1326"	"B_STPHY_LGDN"
"1328"	"B_STPHY_SCHL"
"1330"	"B_STPHY_COPS"
"135"	"B_NESSR_MNNG"
"139"	"B_VIBRI_CHLR"
"1400"	"B_MCRCCC"
"145"	"B_ESCHR_COLI"
"149"	"B_ESCHR_COLI"
"1500"	"B_LCTCC"
"1501"	"B_LCTCC_LCTS_LCTS"
"157"	"B_ESCHR_COLI"
"1600"	"B_AERCC"
"1800"	"B_NESSR"
"1801"	"B_NESSR_GNRR"
"1805"	"B_NESSR_MNNG"
"1850"	"B_MRXLL"
"1851"	"B_MRXLL_CTRR"
"1K1"	"B_ESCHR_COLI"
"2000"	"B_ESCHR"
"2001"	"B_ESCHR_COLI"
"2003"	"B_ESCHR_COLI"
"2004"	"B_ESCHR_COLI"
"2005"	"B_ESCHR_COLI"
"2006"	"B_ESCHR_COLI"
"2007"	"B_ESCHR_COLI"
"2011"	"B_ESCHR_HRMN"
"2012"	"B_PSDSC_VLNR"
"2050"	"B_CTRBC"
"2051"	"B_CTRBC_FRND"
"2052"	"B_CTRBC_KOSR"
"2053"	"B_CTRBC_AMLN"
"2055"	"B_CTRBC_BRAK"
"2100"	"B_SERRT"
"2101"	"B_SERRT_MRCS"
"2102"	"B_SERRT_LQFC"
"2103"	"B_SERRT_PLYM"
"2104"	"B_SERRT_RUBD"
"2105"	"B_SERRT_ODRF"
"2150"	"B_ENTRBC"
"2151"	"B_ENTRBC_CLOC"
"2152"	"B_KLBSL_AERG"
"2153"	"B_CRNBC_SKZK"
"2154"	"B_PLRLB_GRGV"
"2155"	"B_ENTRBC_ASBR"
"2156"	"B_ENTRBC_CNCR"
"2170"	"B_PANTO"
"2171"	"B_PANTO_AGGL"
"2200"	"B_PROTS"
"2201"	"B_PROTS_MRBL"
"2202"	"B_PROTS_VLGR"
"2203"	"B_PROTS_PNNR"
"2250"	"B_MRGNL"
"2251"	"B_MRGNL_MRGN_MRGN"
"2300"	"B_PRVDN"
"2301"	"B_PRVDN_RTTG"
"2304"	"B_PRVDN_ALCL"
"2306"	"B_PRVDN_HMBC"
"2350"	"B_KLBSL"
"2351"	"B_KLBSL_PNMN_PNMN"
"2352"	"B_KLBSL_OXYT"
"2353"	"B_KLBSL_PNMN_OZAN"
"2354"	"B_KLBSL_PNMN_RHNS"
"2400"	"B_YERSN"
"2401"	"B_YERSN_ENTR"
"2402"	"B_YERSN_PSTS"
