"ab"	"name"	"type"	"dose"	"dose_times"	"administration"	"notes"	"original_txt"	"eucast_version"
"AMK"	"Amikacin"	"standard_dosage"	"25-30 mg/kg"	1	"iv"	""	"25-30 mg/kg x 1 iv"	12
"AMX"	"Amoxicillin"	"high_dosage"	"2 g"	6	"iv"	""	"2 g x 6 iv"	12
"AMX"	"Amoxicillin"	"standard_dosage"	"1 g"	3	"iv"	""	"1 g x 3-4 iv"	12
"AMX"	"Amoxicillin"	"high_dosage"	"0.75-1 g"	3	"oral"	""	"0.75-1 g x 3 oral"	12
"AMX"	"Amoxicillin"	"standard_dosage"	"0.5 g"	3	"oral"	""	"0.5 g x 3 oral"	12
"AMX"	"Amoxicillin"	"uncomplicated_uti"	"0.5 g"	3	"oral"	""	"0.5 g x 3 oral"	12
"AMC"	"Amoxicillin/clavulanic acid"	"high_dosage"	"2 g + 0.2 g"	3	"iv"	""	"(2 g amoxicillin + 0.2 g clavulanic acid) x 3 iv"	12
"AMC"	"Amoxicillin/clavulanic acid"	"standard_dosage"	"1 g + 0.2 g"	3	"iv"	""	"(1 g amoxicillin + 0.2 g clavulanic acid) x 3-4 iv"	12
"AMC"	"Amoxicillin/clavulanic acid"	"high_dosage"	"0.875 g + 0.125 g"	3	"oral"	""	"(0.875 g amoxicillin + 0.125 g clavulanic acid) x 3 oral"	12
"AMC"	"Amoxicillin/clavulanic acid"	"standard_dosage"	"0.5 g + 0.125 g"	3	"oral"	""	"(0.5 g amoxicillin + 0.125 g clavulanic acid) x 3 oral"	12
"AMC"	"Amoxicillin/clavulanic acid"	"uncomplicated_uti"	"0.5 g + 0.125 g"	3	"oral"	""	"(0.5 g amoxicillin + 0.125 g clavulanic acid) x 3 oral"	12
"AMP"	"Ampicillin"	"high_dosage"	"2 g"	4	"iv"	""	"2 g x 4 iv"	12
"AMP"	"Ampicillin"	"standard_dosage"	"2 g"	3	"iv"	""	"2 g x 3 iv"	12
"SAM"	"Ampicillin/sulbactam"	"high_dosage"	"2 g + 1 g"	4	"iv"	""	"(2 g ampicillin + 1 g sulbactam) x 4 iv"	12
"SAM"	"Ampicillin/sulbactam"	"standard_dosage"	"2 g + 1 g"	3	"iv"	""	"(2 g ampicillin + 1 g sulbactam) x 3 iv"	12
"AZM"	"Azithromycin"	"standard_dosage"	"0.5 g"	1	"iv"	""	"0.5 g x 1 iv"	12
"AZM"	"Azithromycin"	"standard_dosage"	"0.5 g"	1	"oral"	""	"0.5 g x 1 oral"	12
"ATM"	"Aztreonam"	"high_dosage"	"2 g"	4	"iv"	""	"2 g x 4 iv"	12
"ATM"	"Aztreonam"	"standard_dosage"	"1 g"	3	"iv"	""	"1 g x 3 iv"	12
"PEN"	"Benzylpenicillin"	"high_dosage"	"1.2 g"	4	"iv"	""	"1.2 g (2 MU) x 4-6 iv"	12
"PEN"	"Benzylpenicillin"	"standard_dosage"	"0.6 g"	4	"iv"	""	"0.6 g (1 MU) x 4 iv"	12
"CEC"	"Cefaclor"	"high_dosage"	"1 g"	3	"oral"	""	"1 g x 3 oral"	12
"CEC"	"Cefaclor"	"standard_dosage"	"0.25-0.5 g"	3	"oral"	""	"0.25-0.5 g x 3 oral"	12
"CFR"	"Cefadroxil"	"standard_dosage"	"0.5-1 g"	2	"oral"	""	"0.5-1 g x 2 oral"	12
"CFR"	"Cefadroxil"	"uncomplicated_uti"	"0.5-1 g"	2	"oral"	""	"0.5-1 g x 2 oral"	12
"LEX"	"Cefalexin"	"standard_dosage"	"0.25-1 g"	2	"oral"	""	"0.25-1 g x 2-3 oral"	12
"LEX"	"Cefalexin"	"uncomplicated_uti"	"0.25-1 g"	2	"oral"	""	"0.25-1 g x 2-3 oral"	12
"CZO"	"Cefazolin"	"high_dosage"	"2 g"	3	"iv"	""	"2 g x 3 iv"	12
"CZO"	"Cefazolin"	"standard_dosage"	"1 g"	3	"iv"	""	"1 g x 3 iv"	12
"FEP"	"Cefepime"	"high_dosage"	"2 g"	3	"iv"	""	"2 g x 3 iv"	12
"FEP"	"Cefepime"	"standard_dosage"	"2 g"	2	"iv"	""	"2 g x 2 iv"	12
"FDC"	"Cefiderocol"	"standard_dosage"	"2 g"	3	"iv"	"over 3 hours"	"2 g x 3 iv over 3 hours"	12
"CFM"	"Cefixime"	"standard_dosage"	"0.2-0.4 g"	2	"oral"	""	"0.2-0.4 g x 2 oral"	12
