# -------------------------------------------------------------------------------------------------------------------------------
# For editing this interpretive rules reference file, these values can all be used for targeting antibiotics:
# aminoglycosides, aminopenicillins, antifungals, antimycobacterials, betalactams, betalactams_with_inhibitor, carbapenems, cephalosporins, cephalosporins_1st, cephalosporins_2nd, cephalosporins_3rd, cephalosporins_4th, cephalosporins_5th, cephalosporins_except_CAZ, fluoroquinolones, glycopeptides, glycopeptides_except_lipo, lincosamides, lipoglycopeptides, macrolides, oxazolidinones, penicillins, polymyxins, quinolones, streptogramins, tetracyclines, tetracyclines_except_TGC, trimethoprims, ureidopenicillins
# and all separate EARS-Net letter codes such as AMC. They can be separated by comma: 'AMC, fluoroquinolones'.
# The 'if_mo_property' column can be any column name from the AMR::microorganisms data set, or 'genus_species' or 'gramstain'. If 'this_value' exists in AMR::microorganisms.groups$mo_group_name it will be expanded in interpretive_rules() to all relevant species occuring in microorganisms.groups$mo_name before further processing of the line in this file.
# The like.is.one_of column must be 'like' or 'is' or 'one_of' ('like' will read the 'this_value' column as regular expression)
# The EUCAST guideline contains references to the 'Burkholderia cepacia complex'. All species in this group are noted on the 'B.cepacia' sheet of the EUCAST Clinical Breakpoint v.10.0 Excel file of 2020 and later
# >>>>> IF YOU WANT TO IMPORT THIS FILE INTO YOUR OWN SOFTWARE, HAVE THE FIRST 9 LINES SKIPPED <<<<<
# -------------------------------------------------------------------------------------------------------------------------------
rule.provider	reference.rule_group	reference.version	reference.rule	if_mo_property	like.is.one_of	this_value	and_these_antibiotics	have_these_values	then_change_these_antibiotics	to_value	note
EUCAST	Breakpoints	10	Aerococcus sanguinicola	genus_species	is	Aerococcus sanguinicola	NOR	S	fluoroquinolones	S	
EUCAST	Breakpoints	10	Aerococcus sanguinicola	genus_species	is	Aerococcus sanguinicola	NOR	I	fluoroquinolones	I	
EUCAST	Breakpoints	10	Aerococcus sanguinicola	genus_species	is	Aerococcus sanguinicola	NOR	R	fluoroquinolones	R	
EUCAST	Breakpoints	10	Aerococcus sanguinicola	genus_species	is	Aerococcus sanguinicola	CIP	S	LVX	S	
EUCAST	Breakpoints	10	Aerococcus sanguinicola	genus_species	is	Aerococcus sanguinicola	CIP	I	LVX	I	
EUCAST	Breakpoints	10	Aerococcus urinae	genus_species	is	Aerococcus sanguinicola	CIP	R	LVX	R	
EUCAST	Breakpoints	10	Aerococcus urinae	genus_species	is	Aerococcus urinae	NOR	S	fluoroquinolones	S	
EUCAST	Breakpoints	10	Aerococcus urinae	genus_species	is	Aerococcus urinae	NOR	I	fluoroquinolones	I	
EUCAST	Breakpoints	10	Aerococcus urinae	genus_species	is	Aerococcus urinae	NOR	R	fluoroquinolones	R	
EUCAST	Breakpoints	10	Aerococcus urinae	genus_species	is	Aerococcus urinae	CIP	S	LVX	S	
EUCAST	Breakpoints	10	Aerococcus urinae	genus_species	is	Aerococcus urinae	CIP	I	LVX	I	
EUCAST	Breakpoints	10	Aerococcus urinae	genus_species	is	Aerococcus urinae	CIP	R	LVX	R	
EUCAST	Breakpoints	10	Anaerobic Gram-negatives	genus	one_of	Bacteroides, Bilophila , Fusobacterium, Mobiluncus, Porphyromonas, Prevotella	PEN	S	AMP, AMX, PIP, TZP, TIC	S	
EUCAST	Breakpoints	10	Anaerobic Gram-negatives	genus	one_of	Bacteroides, Bilophila , Fusobacterium, Mobiluncus, Porphyromonas, Prevotella	PEN	I	AMP, AMX, PIP, TZP, TIC	I	
EUCAST	Breakpoints	10	Anaerobic Gram-negatives	genus	one_of	Bacteroides, Bilophila , Fusobacterium, Mobiluncus, Porphyromonas, Prevotella	PEN	R	AMP, AMX, PIP, TZP, TIC	R	
EUCAST	Breakpoints	10	Anaerobic Gram-positives	genus	one_of	Actinomyces, Bifidobacterium, Clostridium, Clostridioides, Cutibacterium, Eggerthella, Eubacterium, Lactobacillus, Propionibacterium	PEN	S	AMP, AMX, PIP, TZP, TIC	S	
EUCAST	Breakpoints	10	Anaerobic Gram-positives	genus	one_of	Actinomyces, Bifidobacterium, Clostridium, Clostridioides, Cutibacterium, Eggerthella, Eubacterium, Lactobacillus, Propionibacterium	PEN	I	AMP, AMX, PIP, TZP, TIC	I	
EUCAST	Breakpoints	10	Anaerobic Gram-positives	genus	one_of	Actinomyces, Bifidobacterium, Clostridium, Clostridioides, Cutibacterium, Eggerthella, Eubacterium, Lactobacillus, Propionibacterium	PEN	R	AMP, AMX, PIP, TZP, TIC	R	
EUCAST	Breakpoints	10	Burkholderia pseudomallei	genus_species	is	Burkholderia pseudomallei	TCY	S	DOX	S	
EUCAST	Breakpoints	10	Burkholderia pseudomallei	genus_species	is	Burkholderia pseudomallei	TCY	I	DOX	I	
EUCAST	Breakpoints	10	Burkholderia pseudomallei	genus_species	is	Burkholderia pseudomallei	TCY	R	DOX	R	
EUCAST	Breakpoints	10	Campylobacter coli	genus_species	is	Campylobacter coli	ERY	S	AZM, CLR	S	
EUCAST	Breakpoints	10	Campylobacter coli	genus_species	is	Campylobacter coli	ERY	I	AZM, CLR	I	
EUCAST	Breakpoints	10	Campylobacter coli	genus_species	is	Campylobacter coli	ERY	R	AZM, CLR	R	
EUCAST	Breakpoints	10	Campylobacter coli	genus_species	is	Campylobacter coli	TCY	S	DOX	S	
EUCAST	Breakpoints	10	Campylobacter coli	genus_species	is	Campylobacter coli	TCY	I	DOX	I	
EUCAST	Breakpoints	10	Campylobacter coli	genus_species	is	Campylobacter coli	TCY	R	DOX	R	
