"microorganism"	"antibiotic"
"(unknown Gram-positives)"	"Aztreonam"
"(unknown Gram-positives)"	"Colistin"
"(unknown Gram-positives)"	"Nalidixic acid"
"(unknown Gram-positives)"	"Polymyxin B"
"(unknown Gram-positives)"	"Temocillin"
"Abiotrophia"	"Aztreonam"
"Abiotrophia"	"Colistin"
"Abiotrophia"	"Nalidixic acid"
"Abiotrophia"	"Polymyxin B"
"Abiotrophia"	"Temocillin"
"Abiotrophia defectiva"	"Aztreonam"
"Abiotrophia defectiva"	"Colistin"
"Abiotrophia defectiva"	"Nalidixic acid"
"Abiotrophia defectiva"	"Polymyxin B"
"Abiotrophia defectiva"	"Temocillin"
"Abyssivirga"	"Aztreonam"
"Abyssivirga"	"Colistin"
"Abyssivirga"	"Nalidixic acid"
"Abyssivirga"	"Polymyxin B"
"Abyssivirga"	"Temocillin"
"Abyssivirga alkaniphila"	"Aztreonam"
"Abyssivirga alkaniphila"	"Colistin"
"Abyssivirga alkaniphila"	"Nalidixic acid"
"Abyssivirga alkaniphila"	"Polymyxin B"
"Abyssivirga alkaniphila"	"Temocillin"
"Acaricomes"	"Aztreonam"
"Acaricomes"	"Colistin"
"Acaricomes"	"Nalidixic acid"
"Acaricomes"	"Polymyxin B"
"Acaricomes"	"Temocillin"
"Acaricomes phytoseiuli"	"Aztreonam"
"Acaricomes phytoseiuli"	"Colistin"
"Acaricomes phytoseiuli"	"Nalidixic acid"
"Acaricomes phytoseiuli"	"Polymyxin B"
"Acaricomes phytoseiuli"	"Temocillin"
"Acetanaerobacterium"	"Aztreonam"
"Acetanaerobacterium"	"Colistin"
"Acetanaerobacterium"	"Nalidixic acid"
"Acetanaerobacterium"	"Polymyxin B"
"Acetanaerobacterium"	"Temocillin"
"Acetanaerobacterium elongatum"	"Aztreonam"
"Acetanaerobacterium elongatum"	"Colistin"
"Acetanaerobacterium elongatum"	"Nalidixic acid"
"Acetanaerobacterium elongatum"	"Polymyxin B"
"Acetanaerobacterium elongatum"	"Temocillin"
"Acetatifactor"	"Aztreonam"
"Acetatifactor"	"Colistin"
"Acetatifactor"	"Nalidixic acid"
"Acetatifactor"	"Polymyxin B"
"Acetatifactor"	"Temocillin"
"Acetatifactor muris"	"Aztreonam"
"Acetatifactor muris"	"Colistin"
"Acetatifactor muris"	"Nalidixic acid"
"Acetatifactor muris"	"Polymyxin B"
"Acetatifactor muris"	"Temocillin"
"Acetitomaculum"	"Aztreonam"
"Acetitomaculum"	"Colistin"
"Acetitomaculum"	"Nalidixic acid"
"Acetitomaculum"	"Polymyxin B"
"Acetitomaculum"	"Temocillin"
"Acetitomaculum ruminis"	"Aztreonam"
"Acetitomaculum ruminis"	"Colistin"
"Acetitomaculum ruminis"	"Nalidixic acid"
"Acetitomaculum ruminis"	"Polymyxin B"
"Acetitomaculum ruminis"	"Temocillin"
"Acetivibrio"	"Aztreonam"
"Acetivibrio"	"Colistin"
"Acetivibrio"	"Nalidixic acid"
"Acetivibrio"	"Polymyxin B"
"Acetivibrio"	"Temocillin"
"Acetivibrio ethanolgignens"	"Aztreonam"
"Acetivibrio ethanolgignens"	"Colistin"
"Acetivibrio ethanolgignens"	"Nalidixic acid"
"Acetivibrio ethanolgignens"	"Polymyxin B"
"Acetivibrio ethanolgignens"	"Temocillin"
"Acetoanaerobium"	"Aztreonam"
"Acetoanaerobium"	"Colistin"
"Acetoanaerobium"	"Nalidixic acid"
"Acetoanaerobium"	"Polymyxin B"
"Acetoanaerobium"	"Temocillin"
"Acetoanaerobium noterae"	"Aztreonam"
"Acetoanaerobium noterae"	"Colistin"
"Acetoanaerobium noterae"	"Nalidixic acid"
"Acetoanaerobium noterae"	"Polymyxin B"
"Acetoanaerobium noterae"	"Temocillin"
"Acetoanaerobium pronyense"	"Aztreonam"
"Acetoanaerobium pronyense"	"Colistin"
"Acetoanaerobium pronyense"	"Nalidixic acid"
"Acetoanaerobium pronyense"	"Polymyxin B"
"Acetoanaerobium pronyense"	"Temocillin"
"Acetoanaerobium sticklandii"	"Aztreonam"
"Acetoanaerobium sticklandii"	"Colistin"
"Acetoanaerobium sticklandii"	"Nalidixic acid"
"Acetoanaerobium sticklandii"	"Polymyxin B"
"Acetoanaerobium sticklandii"	"Temocillin"
"Acetobacterium"	"Aztreonam"
"Acetobacterium"	"Colistin"
"Acetobacterium"	"Nalidixic acid"
"Acetobacterium"	"Polymyxin B"
"Acetobacterium"	"Temocillin"
"Acetobacterium bakii"	"Aztreonam"
"Acetobacterium bakii"	"Colistin"
"Acetobacterium bakii"	"Nalidixic acid"
"Acetobacterium bakii"	"Polymyxin B"
"Acetobacterium bakii"	"Temocillin"
"Acetobacterium carbinolicum"	"Aztreonam"
"Acetobacterium carbinolicum"	"Colistin"
"Acetobacterium carbinolicum"	"Nalidixic acid"
"Acetobacterium carbinolicum"	"Polymyxin B"
"Acetobacterium carbinolicum"	"Temocillin"
"Acetobacterium fimetarium"	"Aztreonam"
"Acetobacterium fimetarium"	"Colistin"
"Acetobacterium fimetarium"	"Nalidixic acid"
"Acetobacterium fimetarium"	"Polymyxin B"
"Acetobacterium fimetarium"	"Temocillin"
"Acetobacterium malicum"	"Aztreonam"
"Acetobacterium malicum"	"Colistin"
"Acetobacterium malicum"	"Nalidixic acid"
"Acetobacterium malicum"	"Polymyxin B"
"Acetobacterium malicum"	"Temocillin"
"Acetobacterium paludosum"	"Aztreonam"
"Acetobacterium paludosum"	"Colistin"
"Acetobacterium paludosum"	"Nalidixic acid"
"Acetobacterium paludosum"	"Polymyxin B"
"Acetobacterium paludosum"	"Temocillin"
"Acetobacterium tundrae"	"Aztreonam"
"Acetobacterium tundrae"	"Colistin"
"Acetobacterium tundrae"	"Nalidixic acid"
"Acetobacterium tundrae"	"Polymyxin B"
"Acetobacterium tundrae"	"Temocillin"
"Acetobacterium wieringae"	"Aztreonam"
"Acetobacterium wieringae"	"Colistin"
"Acetobacterium wieringae"	"Nalidixic acid"
"Acetobacterium wieringae"	"Polymyxin B"
"Acetobacterium wieringae"	"Temocillin"
"Acetobacterium woodii"	"Aztreonam"
"Acetobacterium woodii"	"Colistin"
"Acetobacterium woodii"	"Nalidixic acid"
"Acetobacterium woodii"	"Polymyxin B"
"Acetobacterium woodii"	"Temocillin"
"Acetohalobium"	"Aztreonam"
"Acetohalobium"	"Colistin"
"Acetohalobium"	"Nalidixic acid"
"Acetohalobium"	"Polymyxin B"
"Acetohalobium"	"Temocillin"
"Acetohalobium arabaticum"	"Aztreonam"
"Acetohalobium arabaticum"	"Colistin"
"Acetohalobium arabaticum"	"Nalidixic acid"
"Acetohalobium arabaticum"	"Polymyxin B"
"Acetohalobium arabaticum"	"Temocillin"
"Acetonema"	"Aztreonam"
"Acetonema"	"Colistin"
"Acetonema"	"Nalidixic acid"
"Acetonema"	"Polymyxin B"
"Acetonema"	"Temocillin"
"Acetonema longum"	"Aztreonam"
"Acetonema longum"	"Colistin"
"Acetonema longum"	"Nalidixic acid"
"Acetonema longum"	"Polymyxin B"
"Acetonema longum"	"Temocillin"
"Acholeplasma"	"Aztreonam"
"Acholeplasma"	"Colistin"
"Acholeplasma"	"Nalidixic acid"
"Acholeplasma"	"Polymyxin B"
"Acholeplasma"	"Temocillin"
"Acholeplasma axanthum"	"Aztreonam"
"Acholeplasma axanthum"	"Colistin"
"Acholeplasma axanthum"	"Nalidixic acid"
"Acholeplasma axanthum"	"Polymyxin B"
"Acholeplasma axanthum"	"Temocillin"
"Acholeplasma brassicae"	"Aztreonam"
"Acholeplasma brassicae"	"Colistin"
"Acholeplasma brassicae"	"Nalidixic acid"
"Acholeplasma brassicae"	"Polymyxin B"
"Acholeplasma brassicae"	"Temocillin"
"Acholeplasma cavigenitalium"	"Aztreonam"
"Acholeplasma cavigenitalium"	"Colistin"
"Acholeplasma cavigenitalium"	"Nalidixic acid"
"Acholeplasma cavigenitalium"	"Polymyxin B"
"Acholeplasma cavigenitalium"	"Temocillin"
"Acholeplasma equifetale"	"Aztreonam"
"Acholeplasma equifetale"	"Colistin"
"Acholeplasma equifetale"	"Nalidixic acid"
"Acholeplasma equifetale"	"Polymyxin B"
"Acholeplasma equifetale"	"Temocillin"
"Acholeplasma granularum"	"Aztreonam"
"Acholeplasma granularum"	"Colistin"
"Acholeplasma granularum"	"Nalidixic acid"
"Acholeplasma granularum"	"Polymyxin B"
"Acholeplasma granularum"	"Temocillin"
"Acholeplasma hippikon"	"Aztreonam"
"Acholeplasma hippikon"	"Colistin"
"Acholeplasma hippikon"	"Nalidixic acid"
"Acholeplasma hippikon"	"Polymyxin B"
"Acholeplasma hippikon"	"Temocillin"
"Acholeplasma laidlawii"	"Aztreonam"
"Acholeplasma laidlawii"	"Colistin"
"Acholeplasma laidlawii"	"Nalidixic acid"
"Acholeplasma laidlawii"	"Polymyxin B"
"Acholeplasma laidlawii"	"Temocillin"
"Acholeplasma modicum"	"Aztreonam"
"Acholeplasma modicum"	"Colistin"
"Acholeplasma modicum"	"Nalidixic acid"
"Acholeplasma modicum"	"Polymyxin B"
"Acholeplasma modicum"	"Temocillin"
"Acholeplasma morum"	"Aztreonam"
"Acholeplasma morum"	"Colistin"
"Acholeplasma morum"	"Nalidixic acid"
"Acholeplasma morum"	"Polymyxin B"
"Acholeplasma morum"	"Temocillin"
"Acholeplasma multilocale"	"Aztreonam"
"Acholeplasma multilocale"	"Colistin"
"Acholeplasma multilocale"	"Nalidixic acid"
"Acholeplasma multilocale"	"Polymyxin B"
"Acholeplasma multilocale"	"Temocillin"
"Acholeplasma oculi"	"Aztreonam"
"Acholeplasma oculi"	"Colistin"
"Acholeplasma oculi"	"Nalidixic acid"
"Acholeplasma oculi"	"Polymyxin B"
"Acholeplasma oculi"	"Temocillin"
"Acholeplasma palmae"	"Aztreonam"
"Acholeplasma palmae"	"Colistin"
"Acholeplasma palmae"	"Nalidixic acid"
"Acholeplasma palmae"	"Polymyxin B"
"Acholeplasma palmae"	"Temocillin"
"Acholeplasma parvum"	"Aztreonam"
"Acholeplasma parvum"	"Colistin"
"Acholeplasma parvum"	"Nalidixic acid"
"Acholeplasma parvum"	"Polymyxin B"
"Acholeplasma parvum"	"Temocillin"
"Acholeplasma pleciae"	"Aztreonam"
"Acholeplasma pleciae"	"Colistin"
"Acholeplasma pleciae"	"Nalidixic acid"
"Acholeplasma pleciae"	"Polymyxin B"
"Acholeplasma pleciae"	"Temocillin"
"Acholeplasma vituli"	"Aztreonam"
"Acholeplasma vituli"	"Colistin"
"Acholeplasma vituli"	"Nalidixic acid"
"Acholeplasma vituli"	"Polymyxin B"
"Acholeplasma vituli"	"Temocillin"
"Acholeplasmataceae"	"Aztreonam"
"Acholeplasmataceae"	"Colistin"
"Acholeplasmataceae"	"Nalidixic acid"
"Acholeplasmataceae"	"Polymyxin B"
"Acholeplasmataceae"	"Temocillin"
"Acholeplasmatales"	"Aztreonam"
"Acholeplasmatales"	"Colistin"
"Acholeplasmatales"	"Nalidixic acid"
"Acholeplasmatales"	"Polymyxin B"
"Acholeplasmatales"	"Temocillin"
"Achromobacter"	"Avoparcin"
"Achromobacter"	"Azithromycin"
"Achromobacter"	"Cefacetrile"
"Achromobacter"	"Cefaclor"
"Achromobacter"	"Cefadroxil"
"Achromobacter"	"Cefaloridine"
"Achromobacter"	"Cefamandole"
"Achromobacter"	"Cefatrizine"
"Achromobacter"	"Cefazedone"
"Achromobacter"	"Cefazolin"
"Achromobacter"	"Cefmetazole"
"Achromobacter"	"Cefonicid"
"Achromobacter"	"Ceforanide"
"Achromobacter"	"Cefotetan"
"Achromobacter"	"Cefotiam"
"Achromobacter"	"Cefoxitin"
"Achromobacter"	"Cefprozil"
"Achromobacter"	"Cefroxadine"
"Achromobacter"	"Ceftezole"
"Achromobacter"	"Cefuroxime"
"Achromobacter"	"Cephalexin"
"Achromobacter"	"Cephalothin"
"Achromobacter"	"Cephapirin"
"Achromobacter"	"Cephradine"
"Achromobacter"	"Clarithromycin"
"Achromobacter"	"Clindamycin"
"Achromobacter"	"Cycloserine"
"Achromobacter"	"Dalbavancin"
"Achromobacter"	"Dirithromycin"
"Achromobacter"	"Erythromycin"
"Achromobacter"	"Flurithromycin"
"Achromobacter"	"Fusidic acid"
"Achromobacter"	"Josamycin"
"Achromobacter"	"Lincomycin"
"Achromobacter"	"Linezolid"
"Achromobacter"	"Loracarbef"
"Achromobacter"	"Midecamycin"
"Achromobacter"	"Miocamycin"
"Achromobacter"	"Norvancomycin"
"Achromobacter"	"Oleandomycin"
"Achromobacter"	"Oritavancin"
"Achromobacter"	"Benzylpenicillin"
"Achromobacter"	"Pirlimycin"
"Achromobacter"	"Pristinamycin"
"Achromobacter"	"Quinupristin/dalfopristin"
"Achromobacter"	"Ramoplanin"
