"mo_group"	"mo"	"mo_group_name"	"mo_name"
"B_ACNTB_BMNN-C"	"B_ACNTB_BMNN"	"Acinetobacter baumannii complex"	"Acinetobacter baumannii"
"B_ACNTB_BMNN-C"	"B_ACNTB_CLCC"	"Acinetobacter baumannii complex"	"Acinetobacter calcoaceticus"
"B_ACNTB_BMNN-C"	"B_ACNTB_DJKS"	"Acinetobacter baumannii complex"	"Acinetobacter dijkshoorniae"
"B_ACNTB_BMNN-C"	"B_ACNTB_NSCM"	"Acinetobacter baumannii complex"	"Acinetobacter nosocomialis"
"B_ACNTB_BMNN-C"	"B_ACNTB_PITT"	"Acinetobacter baumannii complex"	"Acinetobacter pittii"
"B_ACNTB_BMNN-C"	"B_ACNTB_SFRT"	"Acinetobacter baumannii complex"	"Acinetobacter seifertii"
"B_BCTRD_FRGL-C"	"B_BCTRD_FRGL"	"Bacteroides fragilis complex"	"Bacteroides fragilis"
"B_BCTRD_FRGL-C"	"B_BCTRD_OVTS"	"Bacteroides fragilis complex"	"Bacteroides ovatus"
"B_BCTRD_FRGL-C"	"B_BCTRD_THTT"	"Bacteroides fragilis complex"	"Bacteroides thetaiotaomicron"
"B_BCTRD_FRGL-C"	"B_BCTRD_VLGT"	"Bacteroides fragilis complex"	"Bacteroides vulgatus"
"B_BCTRD_FRGL-C"	"B_PRBCT_DSTS"	"Bacteroides fragilis complex"	"Parabacteroides distasonis"
"B_STRPT_HAEM"	"B_STRPT_GRPA"	"Beta-haemolytic Streptococcus"	"Streptococcus Group A"
"B_STRPT_HAEM"	"B_STRPT_ABCG"	"Beta-haemolytic Streptococcus"	"Streptococcus Group A, B, C, G"
"B_STRPT_HAEM"	"B_STRPT_GRPB"	"Beta-haemolytic Streptococcus"	"Streptococcus Group B"
"B_STRPT_HAEM"	"B_STRPT_GRPC"	"Beta-haemolytic Streptococcus"	"Streptococcus Group C"
"B_STRPT_HAEM"	"B_STRPT_GRPD"	"Beta-haemolytic Streptococcus"	"Streptococcus Group D"
"B_STRPT_HAEM"	"B_STRPT_GRPE"	"Beta-haemolytic Streptococcus"	"Streptococcus Group E"
"B_STRPT_HAEM"	"B_STRPT_GRPF"	"Beta-haemolytic Streptococcus"	"Streptococcus Group F"
"B_STRPT_HAEM"	"B_STRPT_GRPG"	"Beta-haemolytic Streptococcus"	"Streptococcus Group G"
"B_STRPT_HAEM"	"B_STRPT_GRPH"	"Beta-haemolytic Streptococcus"	"Streptococcus Group H"
"B_STRPT_HAEM"	"B_STRPT_GRPI"	"Beta-haemolytic Streptococcus"	"Streptococcus Group I"
"B_STRPT_HAEM"	"B_STRPT_GRPJ"	"Beta-haemolytic Streptococcus"	"Streptococcus Group J"
"B_STRPT_HAEM"	"B_STRPT_GRPK"	"Beta-haemolytic Streptococcus"	"Streptococcus Group K"
"B_STRPT_HAEM"	"B_STRPT_GRPL"	"Beta-haemolytic Streptococcus"	"Streptococcus Group L"
"B_STRPT_HAEM"	"B_STRPT_AGLC"	"Beta-haemolytic Streptococcus"	"Streptococcus agalactiae"
"B_STRPT_HAEM"	"B_STRPT_ANGN"	"Beta-haemolytic Streptococcus"	"Streptococcus anginosus"
"B_STRPT_HAEM"	"B_STRPT_ANGN_ANGN"	"Beta-haemolytic Streptococcus"	"Streptococcus anginosus anginosus"
"B_STRPT_HAEM"	"B_STRPT_ANGN_WHLY"	"Beta-haemolytic Streptococcus"	"Streptococcus anginosus whileyi"
"B_STRPT_HAEM"	"B_STRPT_CANS"	"Beta-haemolytic Streptococcus"	"Streptococcus canis"
"B_STRPT_HAEM"	"B_STRPT_DYSG"	"Beta-haemolytic Streptococcus"	"Streptococcus dysgalactiae"
"B_STRPT_HAEM"	"B_STRPT_DYSG_DYSG"	"Beta-haemolytic Streptococcus"	"Streptococcus dysgalactiae dysgalactiae"
"B_STRPT_HAEM"	"B_STRPT_DYSG_EQSM"	"Beta-haemolytic Streptococcus"	"Streptococcus dysgalactiae equisimilis"
"B_STRPT_HAEM"	"B_STRPT_EQUI"	"Beta-haemolytic Streptococcus"	"Streptococcus equi"
"B_STRPT_HAEM"	"B_STRPT_EQUI_EQUI"	"Beta-haemolytic Streptococcus"	"Streptococcus equi equi"
"B_STRPT_HAEM"	"B_STRPT_EQUI_RMNT"	"Beta-haemolytic Streptococcus"	"Streptococcus equi ruminatorum"
"B_STRPT_HAEM"	"B_STRPT_EQUI_ZPDM"	"Beta-haemolytic Streptococcus"	"Streptococcus equi zooepidemicus"
"B_STRPT_HAEM"	"B_STRPT_HYNT"	"Beta-haemolytic Streptococcus"	"Streptococcus hyointestinalis"
"B_STRPT_HAEM"	"B_STRPT_INFN"	"Beta-haemolytic Streptococcus"	"Streptococcus infantarius"
"B_STRPT_HAEM"	"B_STRPT_INFN_COLI"	"Beta-haemolytic Streptococcus"	"Streptococcus infantarius coli"
"B_STRPT_HAEM"	"B_STRPT_INFN_INFN"	"Beta-haemolytic Streptococcus"	"Streptococcus infantarius infantarius"
"B_STRPT_HAEM"	"B_STRPT_LTTN"	"Beta-haemolytic Streptococcus"	"Streptococcus lutetiensis"
"B_STRPT_HAEM"	"B_STRPT_PRCN"	"Beta-haemolytic Streptococcus"	"Streptococcus porcinus"
"B_STRPT_HAEM"	"B_STRPT_PYGN"	"Beta-haemolytic Streptococcus"	"Streptococcus pyogenes"
"B_STRPT_HAEM"	"B_STRPT_SLVR"	"Beta-haemolytic Streptococcus"	"Streptococcus salivarius"
"B_STRPT_HAEM"	"B_STRPT_SLVR_SLVR"	"Beta-haemolytic Streptococcus"	"Streptococcus salivarius salivarius"
