"fullname"	"fullname_new"	"ref"	"prevalence"
"Abaphospora petrucciana"	"Nectria petrucciana"	"Kirschst, 1939"	2
"Abathostoma stercoris"	"Echinocyclidium stercoris"	"Berger in Corliss, 1979"	3
"Abbottina tannerbankensis"	"Nonion tannerbankensis"	"McCulloch, 1977"	3
"Abditodentrix rhomboidalis"	"Tortoplectella rhomboidalis"	"Millett, 1899"	3
"Abiotrophia adiacens"	"Granulicatella adiacens"	"Kawamura et al., 1995"	2
"Abiotrophia balaenopterae"	"Granulicatella balaenopterae"	"Lawson et al., 1999"	2
"Abiotrophia elegans"	"Granulicatella elegans"	"Roggenkamp et al., 1999"	2
"Absidia blakesleeana"	"Lichtheimia blakesleeana"	"Lendn, 1924"	3
"Absidia butleri"	"Gongronella butleri"	"Lendn, 1926"	3
"Absidia corymbifera"	"Lichtheimia corymbifera"	"Sacc et al., 1912"	3
"Absidia hyalospora"	"Lichtheimia hyalospora"	"Lendn, 1908"	3
"Absidia ornata"	"Lichtheimia ornata"	"Sarbhoy, 1965"	3
"Absidia padenii"	"Chlamydoabsidia padenii"	"Milko, 1968"	3
"Absidia ramosa"	"Lichtheimia ramosa"	"Lendn, 1908"	3
"Absidia zychae"	"Lentamyces zychae"	"Hesselt et al., 1966"	3
"Acaeniotyle diaphorogona"	"Acastea diaphorogona"	"Foreman, 1973"	3
"Acaeniotyle ghostensis"	"Acaeniotylopsis ghostensis"	"Carter et al., 1988"	3
"Acanthocircus dicranacanthos"	"Dicerosaturnalis dicranacanthos"	"Squin et al."	3
"Acanthocircus furiosus"	"Moebicircus furiosus"	"Jud, 1994"	3
"Acanthocircus prinevillensis"	"Palaeosaturnalis prinevillensis"	"Blome, 1984"	3
"Acanthogymnomyces princeps"	"Spiromastigoides princeps"	"Udagawa et al., 2000"	3
"Acanthometra (Phyllostaurus) siculus"	"Phyllosturus siculus"	"Haeckel, 1862"	3
"Acanthometra alata"	"Zygostauru alata"	"Muller, 1858"	3
"Acanthometra anormala"	"Amphiblone anormala"	"Haeckel, 1860"	3
"Acanthometra elongata"	"Amphilonche elongata"	"Muller, 1856"	3
"Acanthometra fragils"	"Gigartacon fragils"	"Haeckel, 1860"	3
"Acanthometra tetrapterus"	"Amphistaurus tetrapterus"	"Haeckel, 1860"	3
"Acanthonia denticulatus"	"Gigartacon denticulatus"	"Haeckel, 1887"	3
"Acanthosphaera awaensis"	"Pentactinocapsa awaensis"	"Nakaseko et al., 1979"	3
"Acanthosphaera hexagona"	"Praeconocaryomma hexagona"	"Rust, 1898"	3
