"guideline"	"method"	"site"	"mo"	"mo_name"	"rank_index"	"ab"	"ab_name"	"ref_tbl"	"disk_dose"	"breakpoint_S"	"breakpoint_R"	"uti"
"EUCAST 2022"	"MIC"		"F_ASPRG_MGTS"	"Aspergillus fumigatus"	2	"AMB"	"Amphotericin B"	"Aspergillus"		1	1	FALSE
"EUCAST 2022"	"MIC"		"F_ASPRG_NIGR"	"Aspergillus niger"	2	"AMB"	"Amphotericin B"	"Aspergillus"		1	1	FALSE
"EUCAST 2022"	"MIC"		"F_CANDD"	"Candida"	3	"AMB"	"Amphotericin B"	"Candida"		1	1	FALSE
"EUCAST 2022"	"MIC"		"F_CANDD_ALBC"	"Candida albicans"	2	"AMB"	"Amphotericin B"	"Candida"		1	1	FALSE
"EUCAST 2022"	"MIC"		"F_CANDD_DBLN"	"Candida dubliniensis"	2	"AMB"	"Amphotericin B"	"Candida"		1	1	FALSE
"EUCAST 2022"	"MIC"		"F_CANDD_KRUS"	"Candida krusei"	2	"AMB"	"Amphotericin B"	"Candida"		1	1	FALSE
"EUCAST 2022"	"MIC"		"F_CANDD_PRPS"	"Candida parapsilosis"	2	"AMB"	"Amphotericin B"	"Candida"		1	1	FALSE
"EUCAST 2022"	"MIC"		"F_CANDD_TRPC"	"Candida tropicalis"	2	"AMB"	"Amphotericin B"	"Candida"		1	1	FALSE
"EUCAST 2022"	"MIC"		"F_CRYPT_NFRM"	"Cryptococcus neoformans"	2	"AMB"	"Amphotericin B"	"Candida"		1	1	FALSE
"EUCAST 2022"	"MIC"		"F_PICHI"	"Pithomyces djbhatii"	3	"AMB"	"Amphotericin B"	"Candida"		1	1	FALSE
"EUCAST 2022"	"DISK"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"AMC"	"Amoxicillin/clavulanic acid"	"Enterobacteriaceae"	"20-10"	19	19	FALSE
"EUCAST 2022"	"DISK"	"UTI"	"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"AMC"	"Amoxicillin/clavulanic acid"	"Enterobacteriaceae"	"20-10"	16	16	TRUE
"EUCAST 2022"	"MIC"		"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"AMC"	"Amoxicillin/clavulanic acid"	"Enterobacteriaceae"		8	8	FALSE
"EUCAST 2022"	"MIC"	"UTI"	"B_[ORD]_ENTRBCTR"	"Enterobacterales"	5	"AMC"	"Amoxicillin/clavulanic acid"	"Enterobacteriaceae"		32	32	TRUE
"EUCAST 2022"	"DISK"		"B_BRKHL_PSDM"	"Burkholderia pseudomallei"	2	"AMC"	"Amoxicillin/clavulanic acid"	"B. pseudomallei"	"20ug/10ug"	50	22	FALSE
"EUCAST 2022"	"MIC"		"B_BRKHL_PSDM"	"Burkholderia pseudomallei"	2	"AMC"	"Amoxicillin/clavulanic acid"	"B. pseudomallei"		0.001	8	FALSE
"EUCAST 2022"	"MIC"		"B_ENTRC"	"Enterococcus"	3	"AMC"	"Amoxicillin/clavulanic acid"	"Enterococcus"		4	8	FALSE
"EUCAST 2022"	"DISK"	"IV"	"B_HMPHL"	"Haemophilus"	3	"AMC"	"Amoxicillin/clavulanic acid"	"H. influenzae"	"2-1"	15	15	FALSE
"EUCAST 2022"	"DISK"	"Oral"	"B_HMPHL"	"Haemophilus"	3	"AMC"	"Amoxicillin/clavulanic acid"	"H. influenzae"	"2-1"	50	15	FALSE
"EUCAST 2022"	"MIC"	"IV"	"B_HMPHL"	"Haemophilus"	3	"AMC"	"Amoxicillin/clavulanic acid"	"H. influenzae"		2	2	FALSE
"EUCAST 2022"	"MIC"	"Oral"	"B_HMPHL"	"Haemophilus"	3	"AMC"	"Amoxicillin/clavulanic acid"	"H. influenzae"		0.001	2	FALSE
"EUCAST 2022"	"DISK"		"B_MRXLL_CTRR"	"Moraxella catarrhalis"	2	"AMC"	"Amoxicillin/clavulanic acid"	"M. catarrhalis"	"2-1"	19	19	FALSE
"EUCAST 2022"	"MIC"		"B_MRXLL_CTRR"	"Moraxella catarrhalis"	2	"AMC"	"Amoxicillin/clavulanic acid"	"M. catarrhalis"		1	1	FALSE
"EUCAST 2022"	"DISK"		"B_PSTRL_MLTC"	"Pasteurella multocida"	2	"AMC"	"Amoxicillin/clavulanic acid"	"Pasteurella multocida"	"2-1"	15	15	FALSE
"EUCAST 2022"	"MIC"		"B_PSTRL_MLTC"	"Pasteurella multocida"	2	"AMC"	"Amoxicillin/clavulanic acid"	"Pasteurella multocida"		1	1	FALSE
