if_mo_property	like_is_one_of	this_value	and_these_antibiotics	have_these_values	then_change_these_antibiotics	to_value	reference.rule	reference.rule_group
order	is	Enterobacteriales	ampi	S	amox	S	Enterobacteriales (Order)	Breakpoints
order	is	Enterobacteriales	ampi	I	amox	I	Enterobacteriales (Order)	Breakpoints
order	is	Enterobacteriales	ampi	R	amox	R	Enterobacteriales (Order)	Breakpoints
genus	is	Staphylococcus	peni, cfox	S	ampi, amox, pipe, tica	S	Staphylococcus	Breakpoints
genus	is	Staphylococcus	peni, cfox	R, S	oxac, clox	S	Staphylococcus	Breakpoints
genus	is	Staphylococcus	cfox	R	all_betalactams	R	Staphylococcus	Breakpoints
genus_species	is	Staphylococcus saprophyticus	ampi	S	amox, amcl, pipe, pita	S	Staphylococcus	Breakpoints
genus	is	Staphylococcus	cfox	S	carbapenems, cephalosporins_without_cfta	S	Staphylococcus	Breakpoints
genus	is	Staphylococcus	cfox	I	carbapenems, cephalosporins_without_cfta	I	Staphylococcus	Breakpoints
genus	is	Staphylococcus	cfox	R	carbapenems, cephalosporins_without_cfta	R	Staphylococcus	Breakpoints
genus	is	Staphylococcus	norf	S	cipr, levo, moxi, oflo	S	Staphylococcus	Breakpoints
genus	is	Staphylococcus	eryt	S	azit, clar, roxi	S	Staphylococcus	Breakpoints
genus	is	Staphylococcus	eryt	I	azit, clar, roxi	I	Staphylococcus	Breakpoints
genus	is	Staphylococcus	eryt	R	azit, clar, roxi	R	Staphylococcus	Breakpoints
genus	is	Staphylococcus	tetr	S	doxy, mino	S	Staphylococcus	Breakpoints
genus_species	is	Enterococcus faecium	ampi	R	all_betalactams	R	Enterococcus	Breakpoints
genus	is	Enterococcus	ampi	S	amox, amcl, pipe, pita	S	Enterococcus	Breakpoints
genus	is	Enterococcus	ampi	I	amox, amcl, pipe, pita	I	Enterococcus	Breakpoints
genus	is	Enterococcus	ampi	R	amox, amcl, pipe, pita	R	Enterococcus	Breakpoints
genus	is	Enterococcus	norf	S	cipr, levo	S	Enterococcus	Breakpoints
genus	is	Enterococcus	norf	I	cipr, levo	I	Enterococcus	Breakpoints
genus	is	Enterococcus	norf	R	cipr, levo	R	Enterococcus	Breakpoints
genus_species	like	^Streptococcus (pyogenes|agalactiae|dysgalactiae|group A|group B|group C|group G)$	peni	S	aminopenicillins, ureidopenicillins, cephalosporins, carbapenems, clox, amcl	S	Streptococcus groups A, B, C, G	Breakpoints
genus_species	like	^Streptococcus (pyogenes|agalactiae|dysgalactiae|group A|group B|group C|group G)$	peni	I	aminopenicillins, ureidopenicillins, cephalosporins, carbapenems, clox, amcl	I	Streptococcus groups A, B, C, G	Breakpoints
