lang	pattern	replacement	fixed	ignore.case
de	Coagulase-negative Staphylococcus	Koagulase-negative Staphylococcus	FALSE	FALSE
de	Coagulase-positive Staphylococcus	Koagulase-positive Staphylococcus	FALSE	FALSE
de	Beta-haemolytic Streptococcus	Beta-hämolytischer Streptococcus	FALSE	FALSE
de	unknown Gram negatives	unbekannte Gramnegativen	FALSE	FALSE
de	unknown Gram positives	unbekannte Grampositiven	FALSE	FALSE
de	unknown name	unbekannte Name	FALSE	FALSE
de	unknown kingdom	unbekanntes Reich	FALSE	FALSE
de	unknown phylum	unbekannter Stamm	FALSE	FALSE
de	unknown class	unbekannte Klasse	FALSE	FALSE
de	unknown order	unbekannte Ordnung	FALSE	FALSE
de	unknown family	unbekannte Familie	FALSE	FALSE
de	unknown genus	unbekannte Gattung	FALSE	FALSE
de	unknown species	unbekannte Art	FALSE	FALSE
de	unknown subspecies	unbekannte Unterart	FALSE	FALSE
de	unknown rank	unbekannter Rang	FALSE	FALSE
de	(CoNS)	(KNS)	TRUE	FALSE
de	(CoPS)	(KPS)	TRUE	FALSE
de	Gram negative	Gramnegativ	FALSE	FALSE
de	Gram positive	Grampositiv	FALSE	FALSE
de	Bacteria	Bakterien	FALSE	FALSE
de	Fungi	Hefen/Pilze	FALSE	FALSE
de	Protozoa	Protozoen	FALSE	FALSE
de	biogroup	Biogruppe	FALSE	FALSE
de	biotype	Biotyp	FALSE	FALSE
de	vegetative	vegetativ	FALSE	FALSE
de	([([ ]*?)group	\\1Gruppe	FALSE	FALSE
de	([([ ]*?)Group	\\1Gruppe	FALSE	FALSE
nl	Coagulase-negative Staphylococcus	Coagulase-negatieve Staphylococcus	FALSE	FALSE
nl	Coagulase-positive Staphylococcus	Coagulase-positieve Staphylococcus	FALSE	FALSE
nl	Beta-haemolytic Streptococcus	Beta-hemolytische Streptococcus	FALSE	FALSE
nl	unknown Gram negatives	onbekende Gram-negatieven	FALSE	FALSE
nl	unknown Gram positives	onbekende Gram-positieven	FALSE	FALSE
nl	unknown name	onbekende naam	FALSE	FALSE
nl	unknown kingdom	onbekend koninkrijk	FALSE	FALSE
nl	unknown phylum	onbekend fylum	FALSE	FALSE
nl	unknown class	onbekende klasse	FALSE	FALSE
nl	unknown order	onbekende orde	FALSE	FALSE
nl	unknown family	onbekende familie	FALSE	FALSE
nl	unknown genus	onbekend geslacht	FALSE	FALSE
nl	unknown species	onbekende soort	FALSE	FALSE
nl	unknown subspecies	onbekende ondersoort	FALSE	FALSE
nl	unknown rank	onbekende rang	FALSE	FALSE
nl	(CoNS)	(CNS)	TRUE	FALSE
nl	(CoPS)	(CPS)	TRUE	FALSE
nl	Gram negative	Gram-negatief	FALSE	FALSE
nl	Gram positive	Gram-positief	FALSE	FALSE
nl	Bacteria	Bacteriën	FALSE	FALSE
nl	Fungi	Schimmels/gisten	FALSE	FALSE
nl	Protozoa	protozoën	FALSE	FALSE
nl	biogroup	biogroep	FALSE	FALSE
nl	vegetative	vegetatief	FALSE	FALSE
nl	([([ ]*?)group	\\1groep	FALSE	FALSE
nl	([([ ]*?)Group	\\1Groep	FALSE	FALSE
es	Coagulase-negative Staphylococcus	Staphylococcus coagulasa negativo	FALSE	FALSE
es	Coagulase-positive Staphylococcus	Staphylococcus coagulasa positivo	FALSE	FALSE
es	Beta-haemolytic Streptococcus	Streptococcus Beta-hemolítico	FALSE	FALSE
es	unknown Gram negatives	Gram negativos desconocidos	FALSE	FALSE
es	unknown Gram positives	Gram positivos desconocidos	FALSE	FALSE
es	unknown name	nombre desconocido	FALSE	FALSE
es	unknown kingdom	reino desconocido	FALSE	FALSE
es	unknown phylum	filo desconocido	FALSE	FALSE
es	unknown class	clase desconocida	FALSE	FALSE
es	unknown order	orden desconocido	FALSE	FALSE
es	unknown family	familia desconocida	FALSE	FALSE
es	unknown genus	género desconocido	FALSE	FALSE
es	unknown species	especie desconocida	FALSE	FALSE
es	unknown subspecies	subespecie desconocida	FALSE	FALSE
es	unknown rank	rango desconocido	FALSE	FALSE
es	(CoNS)	(SCN)	TRUE	FALSE
es	(CoPS)	(SCP)	TRUE	FALSE
es	Gram negative	Gram negativo	FALSE	FALSE
es	Gram positive	Gram positivo	FALSE	FALSE
es	Bacteria	Bacterias	FALSE	FALSE
es	Fungi	Hongos	FALSE	FALSE
es	Protozoa	Protozoarios	FALSE	FALSE
es	biogroup	biogrupo	FALSE	FALSE
es	biotype	biotipo	FALSE	FALSE
es	vegetative	vegetativo	FALSE	FALSE
es	([([ ]*?)group	\\1grupo	FALSE	FALSE
es	([([ ]*?)Group	\\1Grupo	FALSE	FALSE
it	Coagulase-negative Staphylococcus	Staphylococcus negativo coagulasi	FALSE	FALSE
it	Coagulase-positive Staphylococcus	Staphylococcus positivo coagulasi	FALSE	FALSE
it	Beta-haemolytic Streptococcus	Streptococcus Beta-emolitico	FALSE	FALSE
it	unknown Gram negatives	Gram negativi sconosciuti	FALSE	FALSE
it	unknown Gram positives	Gram positivi sconosciuti	FALSE	FALSE
it	unknown name	nome sconosciuto	FALSE	FALSE
it	unknown kingdom	regno sconosciuto	FALSE	FALSE
it	unknown phylum	phylum sconosciuto	FALSE	FALSE
it	unknown class	classe sconosciuta	FALSE	FALSE
it	unknown order	ordine sconosciuto	FALSE	FALSE
it	unknown family	famiglia sconosciuta	FALSE	FALSE
it	unknown genus	genere sconosciuto	FALSE	FALSE
it	unknown species	specie sconosciute	FALSE	FALSE
it	unknown subspecies	sottospecie sconosciute	FALSE	FALSE
it	unknown rank	grado sconosciuto	FALSE	FALSE
it	Gram negative	Gram negativo	FALSE	FALSE
it	Gram positive	Gram positivo	FALSE	FALSE
it	Bacteria	Batteri	FALSE	FALSE
it	Fungi	Fungo	FALSE	FALSE
it	Protozoa	Protozoi	FALSE	FALSE
it	biogroup	biogruppo	FALSE	FALSE
it	biotype	biotipo	FALSE	FALSE
it	vegetative	vegetativo	FALSE	FALSE
it	([([ ]*?)group	\\1gruppo	FALSE	FALSE
it	([([ ]*?)Group	\\1Gruppo	FALSE	FALSE
fr	Coagulase-negative Staphylococcus	Staphylococcus à coagulase négative	FALSE	FALSE
fr	Coagulase-positive Staphylococcus	Staphylococcus à coagulase positif	FALSE	FALSE
fr	Beta-haemolytic Streptococcus	Streptococcus Bêta-hémolytique	FALSE	FALSE
fr	unknown Gram negatives	Gram négatifs inconnus	FALSE	FALSE
fr	unknown Gram positives	Gram positifs inconnus	FALSE	FALSE
fr	unknown name	nom inconnu	FALSE	FALSE
fr	unknown kingdom	règme inconnu	FALSE	FALSE
fr	unknown phylum	embranchement inconnu	FALSE	FALSE
fr	unknown class	classe inconnue	FALSE	FALSE
fr	unknown order	ordre inconnu	FALSE	FALSE
fr	unknown family	famille inconnue	FALSE	FALSE
fr	unknown genus	genre inconnu	FALSE	FALSE
fr	unknown species	espèce inconnue	FALSE	FALSE
fr	unknown subspecies	sous-espèce inconnue	FALSE	FALSE
fr	unknown rank	rang inconnu	FALSE	FALSE
fr	Gram negative	Gram négatif	FALSE	FALSE
fr	Gram positive	Gram positif	FALSE	FALSE
fr	Bacteria	Bactéries	FALSE	FALSE
fr	Fungi	Champignons	FALSE	FALSE
fr	Protozoa	Protozoaires	FALSE	FALSE
fr	biogroup	biogroupe	FALSE	FALSE
fr	vegetative	végétatif	FALSE	FALSE
fr	([([ ]*?)group	\\1groupe	FALSE	FALSE
fr	([([ ]*?)Group	\\1Groupe	FALSE	FALSE
pt	Coagulase-negative Staphylococcus	Staphylococcus coagulase negativo	FALSE	FALSE
pt	Coagulase-positive Staphylococcus	Staphylococcus coagulase positivo	FALSE	FALSE
pt	Beta-haemolytic Streptococcus	Streptococcus Beta-hemolítico	FALSE	FALSE
pt	unknown Gram negatives	Gram negativos desconhecidos	FALSE	FALSE
pt	unknown Gram positives	Gram positivos desconhecidos	FALSE	FALSE
pt	unknown name	nome desconhecido	FALSE	FALSE
pt	unknown kingdom	reino desconhecido	FALSE	FALSE
pt	unknown phylum	filo desconhecido	FALSE	FALSE
pt	unknown class	classe desconhecida	FALSE	FALSE
pt	unknown order	ordem desconhecido	FALSE	FALSE
pt	unknown family	família desconhecida	FALSE	FALSE
pt	unknown genus	gênero desconhecido	FALSE	FALSE
pt	unknown species	espécies desconhecida	FALSE	FALSE
pt	unknown subspecies	subespécies desconhecida	FALSE	FALSE
pt	unknown rank	classificação desconhecido	FALSE	FALSE
pt	Gram negative	Gram negativo	FALSE	FALSE
pt	Gram positive	Gram positivo	FALSE	FALSE
pt	Bacteria	Bactérias	FALSE	FALSE
pt	Fungi	Fungos	FALSE	FALSE
pt	Protozoa	Protozoários	FALSE	FALSE
pt	biogroup	biogrupo	FALSE	FALSE
pt	biotype	biótipo	FALSE	FALSE
pt	vegetative	vegetativo	FALSE	FALSE
pt	([([ ]*?)group	\\1grupo	FALSE	FALSE
pt	([([ ]*?)Group	\\1Grupo	FALSE	FALSE

nl	4-aminosalicylic acid	aminosalicylzuur
nl	adefovir dipivoxil	adefovir
nl	aldesulfone sodium	aldesulfon
nl	amikacin	amikacine
nl	amoxicillin	amoxicilline
nl	amoxicillin and beta-lactamase inhibitor	amoxicilline met enzymremmer
nl	amphotericin B	amfotericine B
nl	ampicillin	ampicilline
nl	ampicillin and beta-lactamase inhibitor	ampicilline met enzymremmer
nl	ampicillin, combinations	ampicilline, combinatiepreparaten
nl	anidulafungin	anidulafungine
nl	anthrax antigen	anthrax-antigeen
